Nome,Clube,Preço,J,Média,Últ. Pont.,Variação,DS,G,A,SG,FS,FF,FD,FT,DE,DP,GC,CV,CA,PP,GS,FC,I,PS,PC,PI,Year,Round
Gabriel (MEI),,853,7,452,0,0,28.0,1.0,,,9.0,3.0,3.0,,,,,,2.0,,,13.0,1.0,,,39.0,2021,9
João Paulo (LAT),,769,5,450,1330,280,5.0,1.0,,2.0,4.0,2.0,1.0,,,,,,,,,2.0,,,,43.0,2021,9
Zaracho (MEI),,768,7,450,180,-242,19.0,2.0,1.0,,3.0,3.0,,,,,,,2.0,,,12.0,2.0,,,14.0,2021,9
Fagner (LAT),,1223,9,446,580,26,29.0,,,3.0,11.0,1.0,4.0,,,,,,,,,9.0,,,,105.0,2021,9
Breno Lopes (ATA),,674,6,443,210,-15,5.0,3.0,,,6.0,4.0,2.0,,,,,,2.0,,,7.0,4.0,,,15.0,2021,9
Richard (GOL),,690,5,440,800,73,,,,3.0,,,,,11.0,,,,,,4.0,,,,,,2021,9
Cleiton (GOL),,889,8,438,400,-31,,,,3.0,2.0,,,,28.0,,,,1.0,,7.0,,,,,,2021,9
Abel Ferreira (TEC),,1156,9,434,622,64,,,,,,,,,,,,,,,,,,,,,2021,9
Matheus Bahia (LAT),,1099,8,431,750,116,20.0,,2.0,3.0,15.0,4.0,,,,,,,4.0,,,14.0,1.0,,,57.0,2021,9
Mariano (LAT),,778,6,428,800,114,12.0,,,3.0,4.0,,,,,,,,,,,1.0,,,,28.0,2021,9
Deyverson (ATA),,671,7,428,220,-97,6.0,2.0,,,13.0,4.0,4.0,1.0,,,,,,,,8.0,1.0,,,50.0,2021,9
Éder (ZAG),,993,6,425,570,106,3.0,1.0,,4.0,1.0,,,,,,,,,,,6.0,,,,30.0,2021,9
Juninho (ZAG),,1289,8,425,720,134,9.0,1.0,,3.0,3.0,2.0,3.0,,,,,,,,,2.0,1.0,,,32.0,2021,9
Rodrigo Dourado (MEI),,702,5,424,470,41,15.0,1.0,,,6.0,,2.0,,,,,,1.0,,,8.0,,,,12.0,2021,9
Maílson (GOL),,627,9,423,300,-35,,,,3.0,,,,,31.0,,,,,,8.0,,,,,,2021,9
Fabrício Bruno (ZAG),,1161,8,422,300,-51,15.0,,1.0,3.0,8.0,2.0,2.0,,,,,,,,,8.0,,,1.0,43.0,2021,9
Vagner Mancini (TEC),,649,4,421,646,59,,,,,,,,,,,,,,,,,,,,,2021,9
Ferreira (ATA),,921,6,407,140,-37,8.0,,,,15.0,13.0,5.0,1.0,,,,,2.0,,,2.0,,,,55.0,2021,9
Lucas Crispim (MEI),,690,6,407,440,43,11.0,,1.0,,9.0,7.0,3.0,1.0,,,,,1.0,,,3.0,1.0,,,43.0,2021,9
12345,12345.0,12345,12345,12345,12345,12345,12345.0,12345.0,12345.0,12345.0,12345.0,12345.0,12345.0,12345.0,12345.0,12345.0,12345.0,12345.0,12345.0,12345.0,12345.0,12345.0,12345.0,12345.0,12345.0,12345.0,2021,9
Gilberto (ATA),,1508,10,742,360,-77,6.0,7.0,1.0,,12.0,9.0,4.0,,,,,,,,,11.0,5.0,,,28.0,2021,10
Hulk (ATA),,1966,10,711,50,-119,4.0,2.0,5.0,,30.0,15.0,6.0,3.0,,,,,1.0,,,15.0,7.0,1.0,,50.0,2021,10
Arboleda (ZAG),,826,1,700,700,-74,3.0,,,1.0,1.0,1.0,,,,,,,,,,4.0,,,,3.0,2021,10
Artur (ATA),,1581,10,694,210,-147,11.0,3.0,4.0,,16.0,15.0,9.0,,,,,,1.0,,,9.0,,,,99.0,2021,10
Juninho Valoura (MEI),,890,7,686,200,-95,16.0,2.0,3.0,,18.0,3.0,1.0,,,,,,,,,13.0,,,,51.0,2021,10
Arrascaeta (MEI),,1254,2,675,860,-131,3.0,,,,11.0,2.0,5.0,,,,,,,,,1.0,,,,21.0,2021,10
Marinho (ATA),,1891,8,672,0,0,13.0,3.0,,,35.0,8.0,10.0,1.0,,,,,3.0,1.0,,14.0,3.0,,,37.0,2021,10
Gustavo Scarpa (MEI),,1373,10,666,140,-149,11.0,2.0,5.0,,12.0,14.0,9.0,1.0,,,,,1.0,,,7.0,1.0,,,105.0,2021,10
Yago Pikachu (MEI),,1883,10,658,700,58,18.0,4.0,3.0,,18.0,6.0,4.0,1.0,,,,,1.0,1.0,,11.0,4.0,,,74.0,2021,10
Lima (MEI),,1181,8,653,650,-7,21.0,2.0,1.0,,16.0,6.0,5.0,1.0,,,,,,,,13.0,1.0,,,45.0,2021,10
Edenílson (MEI),,1943,9,644,0,0,11.0,5.0,2.0,,12.0,5.0,5.0,,,,,,3.0,,,10.0,1.0,1.0,,86.0,2021,10
Savarino (ATA),,939,4,642,1870,375,1.0,2.0,1.0,,1.0,7.0,1.0,,,,,,,,,1.0,1.0,,,26.0,2021,10
Matheus Peixoto (ATA),,1347,9,639,340,33,10.0,5.0,,,20.0,4.0,1.0,1.0,,,,,1.0,,,9.0,1.0,,,29.0,2021,10
Viña (LAT),,1009,2,625,1500,69,5.0,,1.0,1.0,1.0,1.0,,,,,,,1.0,,,1.0,,,,13.0,2021,10
Raphael Veiga (MEI),,1556,10,612,1840,330,19.0,3.0,1.0,,16.0,9.0,8.0,1.0,,,,,1.0,,,13.0,1.0,,,55.0,2021,10
Gabriel Chapecó (GOL),,276,3,600,0,0,,,,1.0,,,,,10.0,1.0,,,,,4.0,,,,,,2021,10
Natanael (LAT),,1348,8,585,210,18,13.0,,2.0,4.0,11.0,5.0,6.0,2.0,,,,,3.0,,,10.0,,,1.0,69.0,2021,10
Helinho (ATA),,1419,8,578,330,-14,16.0,1.0,3.0,,10.0,6.0,4.0,1.0,,,,,,,,7.0,1.0,,,63.0,2021,10
Pedro (ATA),,1183,6,568,200,-18,3.0,2.0,1.0,,11.0,5.0,4.0,,,,,,,,,4.0,,,,22.0,2021,10
Ytalo (ATA),,1471,10,564,170,-5,11.0,4.0,3.0,,10.0,6.0,2.0,,,,,,2.0,,,11.0,2.0,,,33.0,2021,10
Pepê (MEI),,1038,8,558,690,78,37.0,,,,22.0,4.0,3.0,2.0,,,,,1.0,,,17.0,,,,57.0,2021,10
Matheus Bahia (LAT),,1273,9,545,1460,174,22.0,1.0,2.0,4.0,17.0,4.0,,,,,,,4.0,,,15.0,1.0,,,66.0,2021,10
Fernando Miguel (GOL),,1707,9,544,100,-157,1.0,,,5.0,,,,,26.0,1.0,,,1.0,,8.0,,,,,,2021,10
Richard (GOL),,784,6,542,1050,94,,,,4.0,1.0,,,,16.0,,,,,,4.0,,,,,,2021,10
Jean Mota (MEI),,1130,9,542,0,0,28.0,2.0,1.0,,19.0,9.0,3.0,,,,,,2.0,,,11.0,1.0,,,105.0,2021,10
Rodrigo Caio (ZAG),,1206,7,541,710,28,22.0,,,3.0,5.0,4.0,2.0,,,,,,1.0,,,6.0,,,,22.0,2021,10
Maurício Barbieri (TEC),,1359,10,533,313,-41,,,,,,,,,,,,,,,,,,,,,2021,10
Jô (ATA),,833,7,531,820,36,2.0,4.0,,,8.0,7.0,2.0,1.0,,,,,,,,14.0,2.0,,1.0,28.0,2021,10
Bruno Méndez (ZAG),,486,1,520,520,-14,6.0,,,,1.0,,,,,,,,,,,1.0,,,,8.0,2021,10
Marcinho (LAT),,1201,7,510,0,0,7.0,,4.0,3.0,2.0,7.0,,,,,,1.0,,,,7.0,,,,44.0,2021,10
Marcos Felipe (GOL),,1492,10,495,700,-53,,,,5.0,3.0,,,,32.0,,,,,,9.0,,,,,,2021,10
Rogério Ceni (TEC),,1243,8,494,477,18,,,,,,,,,,,,,,,,,,,,,2021,10
Gabriel (MEI),,920,8,485,720,67,30.0,1.0,1.0,,12.0,3.0,3.0,,,,,,2.0,,,15.0,1.0,,,42.0,2021,10
David (ATA),,1220,10,478,2260,451,11.0,4.0,2.0,,9.0,5.0,3.0,,,,,,2.0,,,12.0,7.0,,,38.0,2021,10
Jailson (GOL),,794,8,475,1000,111,,,,3.0,2.0,,,,25.0,1.0,,,2.0,,6.0,,,,,,2021,10
Abel Ferreira (TEC),,1203,10,469,783,47,,,,,,,,,,,,,,,,,,,,,2021,10
Mariano (LAT),,793,7,465,690,15,15.0,,1.0,3.0,5.0,,,,,,,,,,,1.0,1.0,,,39.0,2021,10
Praxedes (MEI),,739,4,465,1190,220,5.0,2.0,,,12.0,1.0,1.0,,,,,,2.0,,,9.0,,,,19.0,2021,10
Fagner (LAT),,1237,10,462,610,14,31.0,,,4.0,12.0,1.0,4.0,,,,,,,,,10.0,,,,114.0,2021,10
Juan Vojvoda (TEC),,1052,10,459,952,133,,,,,,,,,,,,,,,,,,,,,2021,10
Matheus Babi (ATA),,908,7,457,0,0,11.0,3.0,1.0,,15.0,6.0,4.0,,,,,,4.0,,,23.0,5.0,,,31.0,2021,10
António Oliveira (TEC),,1023,8,456,0,0,,,,,,,,,,,,,,,,,,,,,2021,10
Juninho (ZAG),,1288,9,449,640,-1,10.0,1.0,,4.0,3.0,3.0,3.0,,,,,,,,,2.0,1.0,,,36.0,2021,10
Ignácio (ZAG),,526,7,445,190,-86,15.0,1.0,1.0,1.0,6.0,3.0,1.0,,,,,,1.0,,,8.0,1.0,,,20.0,2021,10
Cuca (TEC),,1115,10,440,330,-36,,,,,,,,,,,,,,,,,,,,,2021,10
Felipe Alves (GOL),,936,10,440,800,91,,,,4.0,2.0,,,,29.0,1.0,,,2.0,,9.0,,,,,,2021,10
Cássio (GOL),,1275,10,440,1000,164,1.0,,,4.0,,,,,32.0,,,,1.0,,7.0,,,,,,2021,10
Willian Arão (ZAG),,1192,8,436,1270,175,18.0,1.0,,3.0,6.0,,1.0,,,,,,1.0,,,6.0,,,,53.0,2021,10
Lucas Crispim (MEI),,726,7,427,550,36,14.0,,1.0,,13.0,7.0,4.0,1.0,,,,,1.0,,,3.0,1.0,,,50.0,2021,10
Weverton (LAT),,343,3,423,0,-22,5.0,1.0,,1.0,2.0,,,,,,,,2.0,,,1.0,,,,18.0,2021,10
12345,12345.0,12345,12345,12345,12345,12345,12345.0,12345.0,12345.0,12345.0,12345.0,12345.0,12345.0,12345.0,12345.0,12345.0,12345.0,12345.0,12345.0,12345.0,12345.0,12345.0,12345.0,12345.0,12345.0,12345.0,2021,10
Gabriel Chapecó (GOL),,509,4,775,1300,233,,,,2.0,,,,,18.0,1.0,,,,,4.0,,,,,,2021,11
Éderson (MEI),,1440,10,751,0,0,36.0,1.0,4.0,,25.0,13.0,5.0,,,,,,3.0,,,11.0,1.0,,,58.0,2021,11
Fernando Henrique (MEI),,230,1,750,750,130,7.0,,,,,2.0,,,,,,,,,,1.0,,,,6.0,2021,11
Lima (MEI),,1365,9,739,1430,184,23.0,2.0,3.0,,18.0,7.0,6.0,1.0,,,,,,,,14.0,1.0,,,47.0,2021,11
Matheus Peixoto (ATA),,1529,10,698,1230,182,10.0,6.0,,,23.0,8.0,1.0,1.0,,,,,1.0,,,9.0,1.0,,,33.0,2021,11
Nikão (MEI),,1047,6,693,1180,165,5.0,3.0,1.0,,7.0,4.0,4.0,1.0,,,,,1.0,,,5.0,,,,24.0,2021,11
Gustavo Scarpa (MEI),,1522,11,691,940,149,11.0,2.0,6.0,,15.0,16.0,11.0,1.0,,,,,1.0,,,8.0,1.0,,,111.0,2021,11
Arrascaeta (MEI),,1256,3,683,700,2,5.0,1.0,,,13.0,3.0,5.0,,,,,,1.0,,,2.0,,,,44.0,2021,11
Marinho (ATA),,1898,9,682,760,7,14.0,4.0,,,39.0,10.0,10.0,1.0,,,,,4.0,1.0,,21.0,3.0,1.0,,42.0,2021,11
Luiz Felipe Scolari (TEC),,647,1,675,675,197,,,,,,,,,,,,,,,,,,,,,2021,11
Gilberto (ATA),,1427,11,673,-20,-81,7.0,7.0,1.0,,14.0,10.0,4.0,,,,,,,,,15.0,5.0,,,38.0,2021,11
Nacho Fernández (MEI),,1307,5,670,0,0,6.0,3.0,,,10.0,3.0,1.0,,,,,,,,,2.0,,,,41.0,2021,11
Hulk (ATA),,1965,11,665,210,-1,4.0,2.0,5.0,,33.0,15.0,7.0,3.0,,,,,1.0,,,16.0,7.0,1.0,,51.0,2021,11
Savarino (ATA),,821,5,664,750,-118,3.0,2.0,2.0,,2.0,8.0,1.0,,,,,,,,,1.0,1.0,,,34.0,2021,11
Weverton (GOL),,1845,1,650,0,0,,,,,1.0,,,,7.0,,,,,,1.0,,,,,,2021,11
Terans (MEI),,1217,9,633,1720,208,5.0,3.0,4.0,,8.0,6.0,4.0,1.0,,,,,1.0,,,6.0,1.0,,,31.0,2021,11
Raphael Veiga (MEI),,1414,11,617,670,-142,19.0,3.0,2.0,,17.0,9.0,10.0,1.0,,,,,1.0,,,14.0,1.0,,,62.0,2021,11
Juninho Valoura (MEI),,872,8,615,120,-18,19.0,2.0,3.0,,20.0,3.0,1.0,,,,,,,,,15.0,,,,69.0,2021,11
Yago Pikachu (MEI),,1757,11,601,30,-126,21.0,4.0,3.0,,18.0,7.0,4.0,1.0,,,,,2.0,1.0,,13.0,4.0,,,79.0,2021,11
Dodô (LAT),,750,2,590,0,0,2.0,,,2.0,,,,,,,,,,,,,,,,2.0,2021,11
Pedro (ATA),,1268,7,581,660,85,4.0,2.0,2.0,,11.0,5.0,6.0,,,,,,,,,7.0,,,,25.0,2021,11
Edenílson (MEI),,1769,10,580,0,-174,11.0,5.0,2.0,,13.0,5.0,5.0,,,,,,3.0,,,10.0,1.0,1.0,,91.0,2021,11
Natanael (LAT),,1398,9,577,510,50,13.0,,3.0,4.0,13.0,5.0,6.0,2.0,,,,,3.0,,,11.0,,,1.0,73.0,2021,11
Arboleda (ZAG),,800,2,560,420,-26,4.0,,,2.0,1.0,1.0,,,,,,,,,,6.0,1.0,,,6.0,2021,11
Lucca (ATA),,653,4,550,1760,353,2.0,2.0,,,5.0,1.0,6.0,,,,,,1.0,,,5.0,2.0,,,10.0,2021,11
Rodrigo Caio (ZAG),,1206,7,541,0,0,22.0,,,3.0,5.0,4.0,2.0,,,,,,1.0,,,6.0,,,,22.0,2021,11
Viña (LAT),,850,3,523,320,-159,9.0,,1.0,1.0,2.0,1.0,,,,,,,1.0,,,3.0,,,,16.0,2021,11
Maurício Barbieri (TEC),,1350,11,511,292,-9,,,,,,,,,,,,,,,,,,,,,2021,11
Matheus Bahia (LAT),,1093,10,511,210,-180,24.0,1.0,2.0,4.0,20.0,4.0,,,,,,,4.0,,,16.0,1.0,,,75.0,2021,11
Busanello (LAT),,678,4,505,500,-27,9.0,1.0,,1.0,3.0,2.0,1.0,,,,,,1.0,,,2.0,,,,31.0,2021,11
Helinho (ATA),,1328,9,504,-90,-91,16.0,1.0,3.0,,12.0,9.0,4.0,1.0,,,,,1.0,,,9.0,1.0,,,76.0,2021,11
Fernando Miguel (GOL),,1681,10,500,100,-26,1.0,,,5.0,,,,,28.0,1.0,,,1.0,,9.0,,,,,,2021,11
Marcelo Boeck (GOL),,330,1,500,500,30,,,,1.0,,,,,,,,,,,,,,,,,2021,11
Marcos Felipe (GOL),,1492,10,495,0,0,,,,5.0,3.0,,,,32.0,,,,,,9.0,,,,,,2021,11
Gustavo Gómez (ZAG),,1132,3,493,700,31,5.0,1.0,,1.0,3.0,,,,,,,,,,,7.0,,,,12.0,2021,11
Praxedes (MEI),,684,5,490,590,-55,5.0,2.0,1.0,,15.0,2.0,1.0,,,,,,2.0,,,11.0,,,,23.0,2021,11
David (ATA),,997,11,482,520,-223,13.0,4.0,2.0,,10.0,10.0,3.0,,,,,,2.0,,,14.0,7.0,,,41.0,2021,11
Jô (ATA),,732,8,481,130,-101,2.0,4.0,,,9.0,9.0,2.0,1.0,,,,,,,,14.0,3.0,,1.0,31.0,2021,11
Abel Ferreira (TEC),,1187,11,477,553,-16,,,,,,,,,,,,,,,,,,,,,2021,11
Igor Cariús (LAT),,1156,9,476,130,-135,24.0,,,5.0,9.0,3.0,,,,,,,1.0,,,5.0,1.0,,,81.0,2021,11
Juan Vojvoda (TEC),,1030,11,473,616,-22,,,,,,,,,,,,,,,,,,,,,2021,11
Cuca (TEC),,1194,11,464,703,79,,,,,,,,,,,,,,,,,,,,,2021,11
Isla (LAT),,1044,3,460,600,93,6.0,,1.0,1.0,3.0,,,,,,,,,,,4.0,,,,17.0,2021,11
António Oliveira (TEC),,1021,9,452,423,-2,,,,,,,,,,,,,,,,,,,,,2021,11
Richard (GOL),,605,7,450,-100,-179,,,,4.0,1.0,,,,17.0,,,,,,6.0,,,,,,2021,11
Everson (GOL),,1212,11,450,850,71,1.0,,,5.0,1.0,,,,32.0,,,,,,9.0,,,,,,2021,11
Gabriel (MEI),,838,9,449,160,-82,32.0,1.0,1.0,,13.0,3.0,3.0,,,,,,2.0,,,16.0,1.0,,,46.0,2021,11
Lucas Evangelista (MEI),,1503,10,441,700,45,20.0,2.0,2.0,,32.0,3.0,,,,,,,3.0,,,19.0,,,,49.0,2021,11
Júnior Alonso (ZAG),,864,3,440,920,128,7.0,,,1.0,,2.0,,1.0,,,,,,,,3.0,,,,19.0,2021,11
Felipe Jonatan (LAT),,1004,9,440,0,0,22.0,,,4.0,6.0,5.0,2.0,,,,,,,,,6.0,,,,88.0,2021,11
12345,12345.0,12345,12345,12345,12345,12345,12345.0,12345.0,12345.0,12345.0,12345.0,12345.0,12345.0,12345.0,12345.0,12345.0,12345.0,12345.0,12345.0,12345.0,12345.0,12345.0,12345.0,12345.0,12345.0,12345.0,2021,11
Gabriel (ATA),,2201,1,2580,2580,1,,3.0,,,1.0,,2.0,,,,,,,,,,1.0,,,6.0,2021,12
Renato Gaúcho (TEC),,1394,1,1132,1132,244,,,,,,,,,,,,,,,,,,,,,2021,12
Gabriel Chapecó (GOL),,465,5,760,700,-44,,,,3.0,,,,,20.0,1.0,,,,,4.0,,,,,,2021,12
Arrascaeta (MEI),,1339,4,755,970,83,8.0,1.0,1.0,,15.0,4.0,5.0,,,,,,1.0,,,2.0,1.0,1.0,,50.0,2021,12
Hulk (ATA),,2204,12,730,1440,239,4.0,4.0,5.0,,33.0,15.0,8.0,3.0,,,,,1.0,,,19.0,8.0,1.0,,59.0,2021,12
Éderson (MEI),,1264,11,719,400,-176,37.0,1.0,4.0,,27.0,15.0,6.0,,,,,,3.0,,,12.0,1.0,,,61.0,2021,12
Marcelo Boeck (GOL),,439,2,700,900,109,,,,2.0,,,,,4.0,,,,,,,,,,,,2021,12
Gustavo Scarpa (MEI),,1518,12,693,710,-4,11.0,3.0,6.0,,15.0,16.0,11.0,1.0,,,,,1.0,,,8.0,2.0,,,115.0,2021,12
Lima (MEI),,1165,10,672,70,-200,24.0,2.0,3.0,,23.0,9.0,6.0,1.0,,,,,1.0,,,15.0,3.0,,,56.0,2021,12
Nacho Fernández (MEI),,1307,5,670,0,0,6.0,3.0,,,10.0,3.0,1.0,,,,,,,,,2.0,,,,41.0,2021,12
Savarino (ATA),,821,5,664,0,0,3.0,2.0,2.0,,2.0,8.0,1.0,,,,,,,,,1.0,1.0,,,34.0,2021,12
Marinho (ATA),,1858,10,658,440,-40,16.0,4.0,,,46.0,11.0,11.0,1.0,,,,,5.0,1.0,,22.0,3.0,1.0,,48.0,2021,12
Bruno Henrique (ATA),,1784,8,654,0,0,12.0,3.0,1.0,,22.0,5.0,10.0,1.0,,,,,2.0,,,15.0,3.0,,,57.0,2021,12
Matheus Peixoto (ATA),,1368,11,647,140,-161,10.0,6.0,,,25.0,8.0,2.0,1.0,,,,,1.0,,,9.0,1.0,,,41.0,2021,12
Isla (LAT),,1185,4,637,1170,141,7.0,,2.0,2.0,3.0,,1.0,,,,,,,,,4.0,,,,22.0,2021,12
Artur (ATA),,1637,12,634,650,110,12.0,3.0,5.0,,18.0,17.0,10.0,,,,,,2.0,,,10.0,,,,105.0,2021,12
Weverton (GOL),,1561,2,625,600,-284,,,,1.0,1.0,,,,8.0,,,,,,1.0,,,,,,2021,12
Nikão (MEI),,874,7,597,20,-173,6.0,3.0,1.0,,8.0,5.0,4.0,1.0,,,,,2.0,,,5.0,,,,25.0,2021,12
Gilberto (ATA),,1362,12,596,-250,-65,7.0,7.0,1.0,,14.0,11.0,4.0,,,,,,1.0,,,17.0,5.0,,,41.0,2021,12
Juninho Valoura (MEI),,930,9,593,420,58,21.0,2.0,3.0,,26.0,4.0,2.0,,,,,,,,,18.0,,,,82.0,2021,12
Aderlan (LAT),,1342,9,592,690,59,35.0,2.0,1.0,2.0,5.0,4.0,1.0,1.0,,,,,2.0,,,16.0,1.0,,,101.0,2021,12
Terans (MEI),,984,10,580,100,-233,5.0,3.0,4.0,,9.0,7.0,4.0,1.0,,,,,1.0,,,6.0,1.0,,,34.0,2021,12
Raphael Veiga (MEI),,1308,12,567,20,-106,19.0,3.0,2.0,,17.0,10.0,11.0,1.0,,,,,1.0,,,17.0,1.0,,,65.0,2021,12
Breno Lopes (ATA),,935,9,564,1230,96,8.0,5.0,1.0,,8.0,5.0,2.0,,,,,,2.0,,,9.0,4.0,,,21.0,2021,12
Luiz Felipe Scolari (TEC),,716,2,564,453,69,,,,,,,,,,,,,,,,,,,,,2021,12
Yago Pikachu (MEI),,1748,12,558,80,-9,22.0,4.0,3.0,,20.0,7.0,4.0,1.0,,,,,2.0,1.0,,14.0,4.0,,,86.0,2021,12
Edenílson (MEI),,1790,11,546,210,21,12.0,5.0,2.0,,15.0,7.0,7.0,,,,,,4.0,,,12.0,1.0,1.0,,100.0,2021,12
Rodrigo Caio (ZAG),,1206,7,541,0,0,22.0,,,3.0,5.0,4.0,2.0,,,,,,1.0,,,6.0,,,,22.0,2021,12
Gustavo Gómez (ZAG),,1140,4,517,590,8,6.0,1.0,,2.0,3.0,,,,,,,,,,,7.0,,,,13.0,2021,12
Maurício Barbieri (TEC),,1372,12,501,388,22,,,,,,,,,,,,,,,,,,,,,2021,12
Marcos Felipe (GOL),,1492,10,495,0,0,,,,5.0,3.0,,,,32.0,,,,,,9.0,,,,,,2021,12
Arboleda (ZAG),,804,3,493,360,4,8.0,,,2.0,1.0,1.0,,,,,,,,,,6.0,1.0,,,10.0,2021,12
Abel Ferreira (TEC),,1223,12,489,624,36,,,,,,,,,,,,,,,,,,,,,2021,12
Jô (ATA),,809,9,484,510,77,3.0,4.0,,,12.0,9.0,3.0,2.0,,,,,,,,16.0,3.0,,1.0,37.0,2021,12
Rigoni (ATA),,848,9,477,0,0,13.0,2.0,3.0,,6.0,8.0,4.0,,,,,,,,,15.0,3.0,,,63.0,2021,12
Fernando Miguel (GOL),,1686,11,473,200,5,1.0,,,5.0,,,,,33.0,1.0,,,1.0,,12.0,,,,,,2021,12
Helinho (ATA),,1354,10,469,150,26,16.0,1.0,3.0,,13.0,10.0,5.0,1.0,,,,,1.0,,,10.0,1.0,,,81.0,2021,12
Richard (GOL),,734,8,469,600,129,,,,5.0,1.0,,,,18.0,,,,,,6.0,,,,,,2021,12
Robson (ATA),,1337,12,469,1120,58,11.0,5.0,1.0,,19.0,6.0,6.0,,,,,,1.0,,,24.0,7.0,1.0,,46.0,2021,12
Juan Vojvoda (TEC),,1016,12,468,411,-14,,,,,,,,,,,,,,,,,,,,,2021,12
Ignácio (ZAG),,686,9,463,960,177,20.0,2.0,1.0,1.0,7.0,3.0,1.0,,,,,,1.0,,,12.0,1.0,,,30.0,2021,12
Busanello (LAT),,657,5,460,280,-21,11.0,1.0,,1.0,3.0,2.0,3.0,,,,,,1.0,,,3.0,,,,42.0,2021,12
Fernando Henrique (MEI),,158,2,460,170,-72,10.0,,,,2.0,2.0,,,,,,,1.0,,,1.0,,,,9.0,2021,12
Heitor (LAT),,775,8,459,1200,180,23.0,,1.0,2.0,7.0,3.0,4.0,,,,,,1.0,,,6.0,,,,70.0,2021,12
Matheus Bahia (LAT),,1033,11,456,-90,-60,26.0,1.0,2.0,4.0,20.0,4.0,,,,,,,5.0,,,17.0,1.0,,,79.0,2021,12
Igor Cariús (LAT),,1178,10,455,270,22,27.0,,,5.0,10.0,3.0,,,,,,,1.0,,,5.0,1.0,,,89.0,2021,12
Willian Arão (ZAG),,1148,10,455,690,76,22.0,1.0,,4.0,8.0,3.0,1.0,,,,,,1.0,,,8.0,,,,61.0,2021,12
Praxedes (MEI),,650,6,455,280,-34,7.0,2.0,1.0,,17.0,2.0,1.0,,,,,,2.0,,,11.0,,,,25.0,2021,12
Daniel (GOL),,740,10,450,900,64,,,,3.0,2.0,,,,38.0,,,,,,9.0,,,,,,2021,12
Cuca (TEC),,1135,12,447,262,-59,,,,,,,,,,,,,,,,,,,,,2021,12
12345,12345.0,12345,12345,12345,12345,12345,12345.0,12345.0,12345.0,12345.0,12345.0,12345.0,12345.0,12345.0,12345.0,12345.0,12345.0,12345.0,12345.0,12345.0,12345.0,12345.0,12345.0,12345.0,12345.0,12345.0,2021,12
Gabriel (ATA),,1857,2,1390,200,-344,,3.0,,,1.0,,5.0,,,,,,,,,2.0,1.0,,,12.0,2021,13
Guilherme Guedes (LAT),,339,1,920,920,139,1.0,1.0,,,1.0,,,,,,,,,,,,,,,3.0,2021,13
Bruno Henrique (ATA),,2240,9,897,2840,456,14.0,6.0,1.0,,27.0,6.0,11.0,1.0,,,,,2.0,,,18.0,3.0,,,63.0,2021,13
Renato Gaúcho (TEC),,1421,2,856,581,27,,,,,,,,,,,,,,,,,,,,,2021,13
Arrascaeta (MEI),,1430,5,842,1190,91,11.0,1.0,3.0,,17.0,4.0,5.0,,,,,,1.0,,,3.0,2.0,1.0,,61.0,2021,13
Hulk (ATA),,2359,13,818,1870,155,5.0,6.0,5.0,,35.0,15.0,8.0,3.0,,,,,1.0,,,19.0,8.0,2.0,,62.0,2021,13
Marcelo Boeck (GOL),,500,3,783,950,61,,,,3.0,1.0,,,,8.0,,,,,,,,,,,,2021,13
Chico (ZAG),,401,2,765,1120,165,9.0,,,2.0,2.0,1.0,,,,,,,,,,5.0,,,,30.0,2021,13
Gabriel Chapecó (GOL),,484,6,733,600,19,,,,3.0,,,,,27.0,1.0,,,,,5.0,,,,,,2021,13
Éderson (MEI),,1357,12,725,790,93,41.0,1.0,4.0,,32.0,16.0,7.0,,,,,,3.0,,,12.0,1.0,,,67.0,2021,13
Savarino (ATA),,821,5,664,0,0,3.0,2.0,2.0,,2.0,8.0,1.0,,,,,,,,,1.0,1.0,,,34.0,2021,13
Lima (MEI),,1239,11,653,460,74,25.0,2.0,3.0,,26.0,13.0,6.0,1.0,,,,,1.0,,,16.0,3.0,,,62.0,2021,13
Weverton (GOL),,1603,3,650,700,42,,,,2.0,1.0,,,,10.0,,,,,,1.0,,,,,,2021,13
Gustavo Scarpa (MEI),,1420,13,645,70,-98,12.0,3.0,6.0,,16.0,16.0,11.0,1.0,,,,,1.0,,,8.0,2.0,,,123.0,2021,13
Terans (MEI),,1215,11,641,1250,231,8.0,4.0,4.0,,11.0,9.0,4.0,1.0,,,,,1.0,,,7.0,1.0,,,40.0,2021,13
Nikão (MEI),,1008,8,611,710,134,9.0,3.0,1.0,,13.0,5.0,6.0,1.0,,,,,2.0,,,5.0,,,,33.0,2021,13
Artur (ATA),,1579,13,603,230,-58,13.0,3.0,5.0,,18.0,19.0,11.0,,,,,,2.0,,,11.0,,,,115.0,2021,13
Natanael (LAT),,1446,10,589,700,48,15.0,,3.0,5.0,15.0,5.0,6.0,2.0,,,,,3.0,,,11.0,,,1.0,83.0,2021,13
Ytalo (ATA),,1520,13,577,90,-125,13.0,6.0,3.0,,13.0,7.0,2.0,,,,,,2.0,,,12.0,3.0,,,39.0,2021,13
Yago Pikachu (MEI),,1883,13,577,800,135,22.0,4.0,4.0,,20.0,8.0,4.0,2.0,,,,,2.0,1.0,,15.0,4.0,,,89.0,2021,13
Nacho Fernández (MEI),,1165,6,575,100,-142,6.0,3.0,,,10.0,3.0,1.0,1.0,,,,,,,,2.0,1.0,,,56.0,2021,13
