Nome,Clube,Preço,J,Média,Últ. Pont.,Variação,DS,G,A,SG,FS,FF,FD,FT,DE,DP,GC,CV,CA,PP,GS,FC,I,PS,PC,PI,Year,Round
Fábio Santos (LAT),,703,7,445,820,48,8.0,1.0,,4.0,1.0,,,,,,,,,,,5.0,,,,29.0,2020,20
Júnior Tavares (LAT),,570,4,445,950,141,4.0,,,2.0,7.0,2.0,1.0,,,,,,,,,2.0,,,,15.0,2020,20
Tiago Volpi (GOL),,1322,16,434,210,-258,1.0,,1.0,5.0,3.0,,,,,3.0,,,1.0,,15.0,,,,,119.0,2020,20
Sabino (ZAG),,992,19,428,1300,101,30.0,4.0,,5.0,17.0,5.0,,1.0,,,1.0,,1.0,,,7.0,1.0,,,101.0,2020,20
Dodi (MEI),,1165,18,426,430,28,64.0,1.0,,,32.0,9.0,4.0,,,,,,3.0,,,23.0,,,,56.0,2020,20
Paulo Victor (GOL),,676,5,424,800,115,,,1.0,2.0,,,,,,,,,,,5.0,,,,,38.0,2020,20
Matheus Babi (ATA),,810,17,421,70,-139,24.0,5.0,1.0,,44.0,9.0,8.0,2.0,,,,,5.0,,,42.0,7.0,,,77.0,2020,20
Rodrigo Santana (TEC),,863,1,410,410,11,,,,,,,,,,,,,,,,,,,,,2020,20
Benítez (MEI),,952,13,407,390,72,36.0,1.0,1.0,,32.0,6.0,7.0,,,,,,3.0,,,12.0,2.0,,,125.0,2020,20
Churín (ATA),,928,2,405,880,251,3.0,,1.0,,1.0,,,1.0,,,,,,,,5.0,1.0,,,4.0,2020,20
Talles Magno (ATA),,1054,16,402,360,47,26.0,2.0,2.0,,44.0,10.0,4.0,1.0,,,,1.0,2.0,,,15.0,4.0,,,68.0,2020,20
Raphael Veiga (MEI),,816,12,397,40,-181,9.0,4.0,,,22.0,10.0,3.0,,,,,,1.0,,,14.0,,,,70.0,2020,20
David Braz (ZAG),,910,15,396,370,-132,32.0,2.0,,4.0,6.0,5.0,2.0,,,,,1.0,,,,12.0,,,,69.0,2020,20
Madson (LAT),,611,15,392,130,-71,12.0,4.0,3.0,2.0,12.0,,2.0,,,,,,2.0,,,6.0,2.0,,,105.0,2020,20
Fernando Diniz (TEC),,972,16,391,438,-26,,,,,,,,,,,,,,,,,,,,,2020,20
Everaldo (ATA),,434,4,388,30,-43,3.0,1.0,,,4.0,4.0,2.0,,,,,,,,,4.0,,,,11.0,2020,20
Gabriel Veron (ATA),,596,10,387,210,9,11.0,3.0,1.0,,11.0,3.0,1.0,,,,,,1.0,,,10.0,2.0,,,24.0,2020,20
Eduardo Coudet (TEC),,1259,20,385,311,31,,,,,,,,,,,,,,,,,,,,,2020,20
Domènec Torrent (TEC),,910,18,377,104,-17,,,,,,,,,,,,,,,,,,,,,2020,20
Renato Gaúcho (TEC),,1287,19,373,635,25,,,,,,,,,,,,,,,,,,,,,2020,20
