Nome,Clube,Preço,J,Média,Últ. Pont.,Variação,DS,G,A,SG,FS,FF,FD,FT,DD,DP,GC,CV,CA,PP,GS,FC,I,PI,rodada,ano,RB,PE
Yuri (MEI),Botafogo,2.37,7.0,0.59,3.2,0.22,,,,,6.0,1.0,2.0,,,,,,1.0,,,5.0,,,26,2019,2.0,2.0
Leonardo Silva (ZAG),Atlético-MG,3.68,11.0,0.54,0.0,-0.11,,,,,10.0,1.0,2.0,1.0,,,,,5.0,,,11.0,,,26,2019,9.0,11.0
Allan (MEI),Fluminense,2.1,19.0,0.47,2.9,0.75,,,1.0,,23.0,12.0,8.0,,,,,1.0,8.0,,,44.0,,,26,2019,22.0,56.0
William Oliveira (MEI),Ceará,1.88,8.0,0.43,-1.3,-0.19,,,,,8.0,2.0,2.0,,,,,,4.0,,,11.0,,,26,2019,7.0,5.0
Guerra (MEI),Bahia,3.12,12.0,0.39,-0.3,-0.12,,1.0,,,5.0,4.0,1.0,,,,,,4.0,,,12.0,1.0,,26,2019,5.0,11.0
Douglas (ZAG),Chapecoense,2.2,16.0,0.22,0.0,-0.04,,,,2.0,4.0,5.0,,,,,,,5.0,,,19.0,,,26,2019,7.0,12.0
Thiago Heleno (ZAG),Athlético-PR,1.13,5.0,-0.64,0.0,0.0,,,,,6.0,,2.0,,,,,,3.0,,,7.0,,,26,2019,2.0,7.0
Wellington (MEI),Athlético-PR,1.62,19.0,-0.74,7.9,0.85,,,1.0,,9.0,3.0,1.0,,,,,,7.0,,,31.0,,,26,2019,10.0,42.0
Gabriel (ATA),Flamengo,19.91,20.0,9.46,2.9,-0.68,,19.0,3.0,,19.0,23.0,20.0,,,,,,8.0,,,16.0,13.0,,27,2019,8.0,37.0
Bruno Henrique (ATA),Flamengo,21.84,24.0,7.07,14.5,0.56,,12.0,2.0,,48.0,28.0,21.0,3.0,,,,,6.0,,,40.0,8.0,,27,2019,20.0,36.0
Everton (ATA),Grêmio,16.55,20.0,6.94,1.6,-0.84,,8.0,4.0,,17.0,16.0,10.0,1.0,,,,,3.0,,,11.0,1.0,,27,2019,27.0,33.0
Douglas Friedrich (GOL),Bahia,15.08,26.0,6.9,5.5,-1.16,,,,14.0,6.0,,,,48.0,1.0,,,,,22.0,,,,27,2019,1.0,7.0
Gilberto (ATA),Bahia,16.53,22.0,6.83,2.1,0.36,,11.0,3.0,,13.0,22.0,10.0,2.0,,,,,,,,24.0,7.0,,27,2019,19.0,27.0
Jorge (LAT),Santos,14.98,22.0,6.71,0.7,-0.01,,1.0,4.0,11.0,32.0,11.0,11.0,,,,,,3.0,,,27.0,2.0,,27,2019,39.0,38.0
Reinaldo (LAT),São Paulo,14.9,24.0,6.59,0.0,0.0,,5.0,1.0,10.0,30.0,19.0,8.0,1.0,,,,,5.0,1.0,,29.0,,,27,2019,43.0,52.0
Tadeu (GOL),Goiás,15.18,25.0,6.35,2.0,0.03,,,,9.0,6.0,,,,55.0,2.0,,,,,32.0,,,,27,2019,,14.0
Filipe Luís (LAT),Flamengo,13.75,10.0,6.24,6.7,-0.27,,,,5.0,6.0,,1.0,,,,,,,,,17.0,,,27,2019,33.0,26.0
Nino Paraíba (LAT),Bahia,13.45,20.0,6.2,2.1,-1.12,,2.0,4.0,10.0,28.0,5.0,7.0,1.0,,,,,4.0,,,22.0,,,27,2019,28.0,48.0
Pedro Geromel (ZAG),Grêmio,13.31,13.0,6.18,0.0,0.0,,2.0,,4.0,9.0,4.0,1.0,,,,,,3.0,,,8.0,,,27,2019,33.0,14.0
Víctor Cuesta (ZAG),Internacional,15.55,20.0,6.05,10.6,0.42,,,,8.0,24.0,2.0,4.0,,,,,,6.0,,,22.0,,,27,2019,64.0,34.0
Carlos Sánchez (MEI),Santos,14.22,24.0,5.88,3.2,-1.55,,7.0,6.0,,48.0,17.0,17.0,2.0,,,,,4.0,1.0,,29.0,5.0,,27,2019,29.0,79.0
Dudu (ATA),Palmeiras,18.2,20.0,5.86,1.7,-0.87,,6.0,3.0,,78.0,20.0,18.0,,,,,,3.0,,,17.0,5.0,,27,2019,9.0,62.0
Jorge Jesus (TEC),Flamengo,15.8,18.0,5.83,7.85,1.1,,,,,,,,,,,,,,,,,,,27,2019,,
Alisson (MEI),Grêmio,8.31,14.0,5.74,0.0,0.0,,3.0,5.0,,27.0,7.0,10.0,,,,,,4.0,,,14.0,,,27,2019,15.0,24.0
Thiago Galhardo (MEI),Ceará,11.32,23.0,5.73,0.0,0.0,,9.0,1.0,,38.0,24.0,17.0,2.0,,,,,3.0,1.0,,26.0,5.0,,27,2019,23.0,62.0
Rafael Vaz (ZAG),Goiás,14.13,20.0,5.7,12.6,1.76,,5.0,,8.0,14.0,14.0,9.0,,,,1.0,,,,,7.0,,,27,2019,24.0,75.0
Diogo Barbosa (LAT),Palmeiras,14.19,19.0,5.67,4.4,-0.4,,,1.0,7.0,17.0,4.0,3.0,,,,,,2.0,,,25.0,1.0,,27,2019,51.0,24.0
Yony González (ATA),Fluminense,13.47,23.0,5.63,5.3,0.57,,5.0,2.0,,42.0,34.0,16.0,2.0,,,,,1.0,,,31.0,5.0,,27,2019,22.0,24.0
Muriel (GOL),Fluminense,7.72,15.0,5.43,8.0,1.19,,,,5.0,5.0,,,,30.0,,,,1.0,,16.0,1.0,,,27,2019,,5.0
Rony (ATA),Athlético-PR,13.37,20.0,5.21,4.5,-0.49,,4.0,4.0,,42.0,30.0,16.0,1.0,,,,,5.0,,,42.0,8.0,,27,2019,21.0,39.0
Diego Alves (GOL),Flamengo,10.09,23.0,5.18,14.0,2.36,,,,10.0,3.0,,,,30.0,2.0,,,,,18.0,,,,27,2019,2.0,12.0
Réver (ZAG),Atlético-MG,13.17,19.0,5.15,8.9,-0.46,,1.0,2.0,4.0,16.0,9.0,5.0,2.0,,,,,1.0,,,6.0,1.0,,27,2019,31.0,28.0
Dedé (ZAG),Cruzeiro,14.63,20.0,5.08,0.0,-1.18,,3.0,,8.0,21.0,6.0,4.0,,,,,,2.0,,,14.0,,,27,2019,28.0,45.0
Ricardo Colbachini (TEC),Internacional,11.46,3.0,5.05,3.07,-0.45,,,,,,,,,,,,,,,,,,,27,2019,,
Jonatan Gomez (MEI),CSA,5.86,19.0,5.01,0.9,-1.27,,5.0,2.0,,52.0,16.0,12.0,,,,,,4.0,,,22.0,1.0,,27,2019,18.0,51.0
Tiago Volpi (GOL),São Paulo,11.76,26.0,4.99,5.0,0.82,,,,11.0,8.0,,,,37.0,,,,,,17.0,,,,27,2019,,21.0
Vladimir (GOL),Avaí,8.08,25.0,4.94,4.0,-2.32,,,,7.0,2.0,,,,53.0,,,,2.0,,33.0,,,,27,2019,,5.0
Wellington Paulista (ATA),Fortaleza,13.18,21.0,4.94,14.7,3.24,,10.0,2.0,,29.0,14.0,15.0,2.0,,,,,6.0,,,41.0,10.0,,27,2019,8.0,35.0
Carlinhos (LAT),CSA,7.69,23.0,4.84,-1.6,-1.06,,2.0,,8.0,21.0,10.0,6.0,,,,,,2.0,,,17.0,,,27,2019,39.0,55.0
Ralf (MEI),Corinthians,11.57,17.0,4.83,7.5,0.24,,1.0,,,27.0,1.0,2.0,1.0,,,,,1.0,,,17.0,,,27,2019,47.0,19.0
Paulo Victor (GOL),Grêmio,6.57,18.0,4.83,0.0,0.0,,,,7.0,1.0,,,,29.0,,,,1.0,,15.0,,,,27,2019,,11.0
Léo Sena (MEI),Goiás,8.69,21.0,4.83,3.4,-0.59,,,1.0,,88.0,7.0,1.0,,,,,1.0,5.0,,,21.0,,,27,2019,58.0,52.0
Vagner Mancini (TEC),Atlético-MG,7.4,2.0,4.82,5.92,0.49,,,,,,,,,,,,,,,,,,,27,2019,,
Danilo Avelar (LAT),Corinthians,8.03,17.0,4.7,-0.6,-0.11,,1.0,,9.0,25.0,2.0,6.0,,,,,,4.0,,,24.0,1.0,,27,2019,24.0,34.0
