Nome,Clube,Preço,J,Média,Últ. Pont.,Variação,DS,G,A,SG,FS,FF,FD,FT,DD,DP,GC,CV,CA,PP,GS,FC,I,PI,rodada,ano,RB,PE
Viña (LAT),Palmeiras,7.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,1,2020,,
Rony (ATA),Palmeiras,16.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,1,2020,,
Adryelson (ZAG),Sport,4.28,1.0,-0.1,-0.1,-1.72,2.0,,,,1.0,,,,,,,,1.0,,,1.0,,1.0,1,2020,,
Samuel Xavier (LAT),Ceará,6.38,1.0,-0.2,-0.2,-2.62,3.0,,,,1.0,,,,,,,,1.0,,,2.0,,7.0,1,2020,,
Weverson (LAT),Bragantino,1.23,1.0,-0.3,-0.3,-0.77,1.0,,,,,,1.0,,,,,,,,,4.0,,5.0,1,2020,,
Klaus (ZAG),Ceará,4.13,1.0,-0.3,-0.3,-1.87,,,,,1.0,,,,,,,,,,,1.0,,3.0,1,2020,,
Morato (ATA),Bragantino,3.33,1.0,-0.4,-0.4,-1.67,,,,,1.0,1.0,1.0,,,,,,,,,3.0,,14.0,1,2020,,
Rogério Ceni (TEC),Fortaleza,5.38,1.0,-0.57,-0.57,-2.62,,,,,,,,,,,,,,,,,,,1,2020,,
Léo Pereira (ZAG),Flamengo,4.64,1.0,-0.6,-0.6,-2.36,,,,,,,,,,,,,,,,,,6.0,1,2020,,
Fabinho (MEI),Ceará,3.19,1.0,-0.6,-0.6,-1.81,2.0,,,,,,,,,,,,1.0,,,1.0,,1.0,1,2020,,
Fabrício Bruno (ZAG),Bragantino,2.97,1.0,-0.9,-0.9,-2.03,,,,,,,,,,,,,,,,1.0,,4.0,1,2020,,
William Matheus (LAT),Coritiba,2.25,1.0,-0.9,-0.9,-1.75,,,,,,,,,,,,,,,,,,9.0,1,2020,,
Igor Julião (LAT),Fluminense,2.17,1.0,-1.0,-1.0,-1.83,1.0,,,,2.0,1.0,,,,,,,1.0,,,2.0,,8.0,1,2020,,
Felipe (MEI),Fortaleza,2.9,1.0,-1.0,-1.0,-2.1,1.0,,,,2.0,,,,,,,,1.0,,,2.0,,,1,2020,,
Keno (ATA),Atlético-MG,12.18,1.0,-1.2,-1.2,-5.82,,,,,,,,,,,,,,,,2.0,,2.0,1,2020,,
Juninho (MEI),Fortaleza,3.48,1.0,-1.2,-1.2,-2.52,1.0,,,,,,1.0,,,,,,1.0,,,1.0,,9.0,1,2020,,
Maicon (MEI),Grêmio,5.65,1.0,-1.2,-1.2,-3.35,1.0,,,,,,,,,,,,,,,3.0,,7.0,1,2020,,
Patrick (MEI),Internacional,10.51,1.0,-1.5,-1.5,-5.49,,,,,2.0,,,,,,,,,,,2.0,1.0,10.0,1,2020,,
Yuri Lima (MEI),Fluminense,1.74,1.0,-1.6,-1.6,-2.26,1.0,,,,,,,,,,,,1.0,,,1.0,,1.0,1,2020,,
Bruno Melo (LAT),Fortaleza,2.39,1.0,-1.7,-1.7,-2.61,,,,,,,,,,,,,,,,2.0,,7.0,1,2020,,
Paulão (ZAG),Fortaleza,1.16,1.0,-2.4,-2.4,-2.84,,,,,,1.0,,,,,,,1.0,,,2.0,,2.0,1,2020,,
Cleiton (GOL),Bragantino,3.12,1.0,-2.7,-2.7,-3.88,,,,,,,,,,,,,,,1.0,,,7.0,1,2020,,
Felipe Alves (GOL),Fortaleza,2.54,1.0,-3.5,-3.5,-4.46,1.0,,,,1.0,,,,,,,,,,2.0,,,10.0,1,2020,,
Carlos Sánchez (MEI),Santos,7.39,1.0,-3.8,-3.8,-6.61,2.0,,,,1.0,,1.0,,,,,,,1.0,,2.0,1.0,20.0,1,2020,,
Filipe Luís (LAT),Flamengo,3.84,1.0,-4.7,-4.7,-6.16,2.0,,,,1.0,,,,,,1.0,,,,,2.0,,12.0,1,2020,,
Fernando Prass (GOL),Ceará,0.72,1.0,-6.6,-6.6,-5.28,,,,,,,,,,,,,,,3.0,,,6.0,1,2020,,
Fellipe Bastos (MEI),Vasco,11.52,1.0,19.3,19.3,7.52,2.0,2.0,,,,,1.0,1.0,,,,,,,,5.0,,4.0,2,2020,,
Daniel Alves (MEI),São Paulo,16.15,1.0,16.4,16.4,4.15,6.0,1.0,,,5.0,4.0,,,,,,,,,,3.0,1.0,13.0,2,2020,,
Jean (GOL),Atlético-GO,9.36,1.0,16.1,16.1,6.36,,,,1.0,,,,,3.0,,,,,,,,,9.0,2,2020,,
Gustavo Ferrareis (MEI),Atlético-GO,9.97,1.0,15.8,15.8,5.97,2.0,1.0,1.0,,4.0,1.0,,,,,,,,,,1.0,1.0,10.0,2,2020,,
Saravia (LAT),Internacional,21.04,2.0,14.75,17.3,7.85,16.0,,1.0,2.0,4.0,1.0,1.0,,,,,,1.0,,,4.0,,15.0,2,2020,,
Vitinho (ATA),Athlético-PR,18.99,2.0,14.7,18.2,8.7,4.0,2.0,1.0,,3.0,1.0,2.0,1.0,,,,,,,,4.0,,13.0,2,2020,,
Jô (ATA),Corinthians,14.3,1.0,13.9,13.9,3.3,,1.0,1.0,,2.0,,1.0,,,,,,,,,1.0,,8.0,2,2020,,
Paolo Guerrero (ATA),Internacional,20.67,2.0,12.6,18.7,6.54,2.0,2.0,1.0,,3.0,2.0,1.0,1.0,,,,,,,,6.0,2.0,11.0,2,2020,,
Jorginho (MEI),Atlético-GO,9.85,1.0,12.2,12.2,3.85,4.0,1.0,,,2.0,,,,,,,,,,,1.0,,3.0,2,2020,,
Tiago Volpi (GOL),São Paulo,15.76,1.0,12.2,12.2,1.76,,,,1.0,,,,,2.0,,,,,,,,,8.0,2,2020,,
Douglas Friedrich (GOL),Bahia,12.07,1.0,12.2,12.2,3.07,,,,1.0,,,,,2.0,,,,,,,,,8.0,2,2020,,
Hyuri (ATA),Atlético-GO,8.58,1.0,11.0,11.0,3.58,2.0,1.0,,,1.0,,1.0,,,,,,,,,1.0,,2.0,2,2020,,
Reinaldo (LAT),São Paulo,13.75,1.0,11.0,11.0,1.75,1.0,,1.0,1.0,2.0,,,,,,,,,,,,,10.0,2,2020,,
Rodriguinho (MEI),Bahia,17.4,1.0,10.9,10.9,0.4,,1.0,,,4.0,1.0,1.0,,,,,,,,,1.0,,6.0,2,2020,,
Henrique (LAT),Vasco,8.18,1.0,10.1,10.1,3.18,6.0,,,1.0,1.0,,,,,,,,,,,2.0,,4.0,2,2020,,
Diego Souza (ATA),Grêmio,12.76,1.0,9.6,0.0,0.0,,1.0,,,2.0,2.0,1.0,,,,,,,,,2.0,,12.0,2,2020,,
Nicolas (LAT),Atlético-GO,7.13,1.0,9.4,9.4,3.13,3.0,,,1.0,2.0,1.0,1.0,,,,,,,,,,,16.0,2,2020,,
Guga (LAT),Atlético-MG,14.22,2.0,9.35,13.1,5.09,8.0,,1.0,1.0,3.0,1.0,1.0,,,,,,,,,2.0,,18.0,2,2020,,
Cléber (ATA),Ceará,12.59,2.0,9.05,9.1,4.62,2.0,2.0,,,,2.0,1.0,,,,,,,,,4.0,,7.0,2,2020,,
Marinho (ATA),Santos,15.16,2.0,8.95,6.2,3.06,3.0,1.0,,,16.0,1.0,2.0,,,,,,1.0,,,3.0,,8.0,2,2020,,
Vagner Mancini (TEC),Atlético-GO,5.42,1.0,8.89,8.89,3.42,,,,,,,,,,,,,,,,,,,2,2020,,
Edenílson (MEI),Internacional,10.56,1.0,8.8,8.8,1.56,,1.0,,,2.0,2.0,2.0,,,,,,1.0,,,2.0,,12.0,2,2020,,
Zé Rafael (MEI),Palmeiras,11.3,1.0,8.8,8.8,1.3,2.0,,1.0,,6.0,1.0,,,,,,,,,,4.0,,,2,2020,,
Pedro Geromel (ZAG),Grêmio,11.09,1.0,8.3,0.0,0.0,5.0,,,1.0,,1.0,,,,,,,,,,3.0,,10.0,2,2020,,
Luiz Adriano (ATA),Palmeiras,11.77,1.0,8.2,8.2,0.77,,1.0,,,,1.0,,,,,,,,,,1.0,,1.0,2,2020,,
Vanderlei (GOL),Grêmio,9.57,1.0,8.2,0.0,0.0,,,,1.0,,,,,1.0,,,,,,,,,8.0,2,2020,,
Léo Cittadini (MEI),Athlético-PR,15.1,2.0,7.9,6.0,2.2,4.0,1.0,,,3.0,4.0,,,,,,,,,,1.0,,4.0,2,2020,,
Juanfran (LAT),São Paulo,7.9,1.0,7.8,7.8,1.9,2.0,,,1.0,2.0,,,,,,,,,,,,,2.0,2,2020,,
Fernando Miguel (GOL),Vasco,9.38,1.0,7.8,7.8,1.38,,,,1.0,,,,,1.0,,,,,,,,,12.0,2,2020,,
Juninho Capixaba (LAT),Bahia,7.16,1.0,7.8,7.8,2.16,2.0,,,1.0,,,2.0,,,,,,,,,1.0,,11.0,2,2020,,
Edson (MEI),Atlético-GO,6.37,1.0,7.7,7.7,2.37,5.0,,1.0,,1.0,,,,,,,,1.0,,,1.0,,3.0,2,2020,,
Jonatan Gomez (MEI),Sport,13.78,2.0,7.15,4.8,1.82,,1.0,,,8.0,4.0,1.0,,,,,,,,,2.0,,11.0,2,2020,,
Yago Pikachu (LAT),Vasco,9.06,1.0,7.1,7.1,1.06,1.0,,,1.0,2.0,,1.0,,,,,,,,,1.0,,6.0,2,2020,,
Claudinho (ATA),Bragantino,12.79,2.0,6.95,6.5,2.35,6.0,1.0,,,1.0,,1.0,,,,,,,,,,,18.0,2,2020,,
Elton (ATA),Sport,14.28,2.0,6.85,-1.9,0.07,,2.0,,,,,,1.0,,,,,1.0,,,1.0,4.0,8.0,2,2020,,
Sander (LAT),Sport,11.36,2.0,6.7,9.1,3.17,12.0,,,,8.0,,,,,,,,,,,1.0,,21.0,2,2020,,
Nino Paraíba (LAT),Bahia,8.89,1.0,6.7,6.7,0.89,2.0,,,1.0,1.0,,,,,,,,,,,,,8.0,2,2020,,
Víctor Cuesta (ZAG),Internacional,12.97,2.0,6.65,8.9,2.53,7.0,,,2.0,2.0,,,,,,,,1.0,,,3.0,,12.0,2,2020,,
Gilvan (ZAG),Atlético-GO,5.89,1.0,6.6,6.6,1.89,3.0,,,1.0,,,,,,,,,,,,2.0,,4.0,2,2020,,
Leandro Carvalho (ATA),Ceará,6.62,1.0,6.6,6.6,1.62,2.0,,1.0,,2.0,,1.0,,,,,,1.0,,,,,6.0,2,2020,,
Guilherme Arana (LAT),Atlético-MG,17.77,2.0,6.35,4.9,-0.2,5.0,,1.0,1.0,,1.0,2.0,,,,,,,,,5.0,,30.0,2,2020,,
Dodi (MEI),Fluminense,9.94,2.0,6.3,8.3,3.2,10.0,,,,3.0,3.0,,,,,,,,,,1.0,,8.0,2,2020,,
Alison (MEI),Santos,12.18,2.0,6.25,3.7,1.45,7.0,,1.0,,5.0,,,,,,,,,,,2.0,,10.0,2,2020,,
Leandro Castan (ZAG),Vasco,15.32,1.0,6.2,6.2,-1.68,2.0,,,1.0,1.0,,,,,,,,,,,2.0,,3.0,2,2020,,
Ramon Menezes (TEC),Vasco,7.91,1.0,6.17,6.17,0.91,,,,,,,,,,,,,,,,,,,2,2020,,
Éder (ZAG),Atlético-GO,4.92,1.0,6.1,6.1,1.92,1.0,,,1.0,2.0,,,,,,,,,,,1.0,,4.0,2,2020,,
Artur (ATA),Bragantino,14.63,2.0,6.1,6.4,1.0,3.0,,1.0,,4.0,2.0,3.0,,,,,,,,,2.0,,20.0,2,2020,,
Flávio (MEI),Bahia,7.14,1.0,6.1,6.1,1.14,6.0,,,,2.0,,1.0,,,,,,,,,3.0,,6.0,2,2020,,
Eduardo Coudet (TEC),Internacional,12.35,2.0,6.03,7.81,2.03,,,,,,,,,,,,,,,,,,,2,2020,,
Jorge Sampaoli (TEC),Atlético-MG,13.86,2.0,6.01,6.62,1.25,,,,,,,,,,,,,,,,,,,2,2020,,
Juninho (ZAG),Bahia,8.53,1.0,5.9,5.9,0.53,1.0,,,1.0,,,,,,,,,,,,,,1.0,2,2020,,
Pepê (ATA),Grêmio,10.68,2.0,5.9,8.8,2.71,3.0,,1.0,,5.0,1.0,1.0,,,,,,,,,,,7.0,2,2020,,
Roger Machado (TEC),Bahia,7.78,1.0,5.87,5.87,0.78,,,,,,,,,,,,,,,,,,,2,2020,,
Alerrandro (ATA),Bragantino,8.09,2.0,5.75,10.7,3.89,1.0,1.0,,,1.0,1.0,1.0,1.0,,,,,,,,2.0,3.0,5.0,2,2020,,
Evanilson (ATA),Fluminense,9.74,2.0,5.7,7.6,2.64,1.0,1.0,,,10.0,1.0,1.0,,,,,,1.0,,,2.0,2.0,6.0,2,2020,,
Fernando Sobral (MEI),Ceará,9.21,2.0,5.6,4.4,2.11,8.0,,1.0,,2.0,2.0,1.0,,,,,,1.0,,,4.0,,16.0,2,2020,,
Moisés (LAT),Internacional,10.74,2.0,5.55,3.0,1.25,7.0,,,2.0,,2.0,1.0,,,,,,1.0,,,8.0,1.0,22.0,2,2020,,
Fernando Diniz (TEC),São Paulo,8.31,1.0,5.41,5.41,0.31,,,,,,,,,,,,,,,,,,,2,2020,,
Júnior Alonso (ZAG),Atlético-MG,10.22,2.0,5.4,5.1,1.74,6.0,,,1.0,,2.0,,,,,,,,,,2.0,,8.0,2,2020,,
Marrony (ATA),Atlético-MG,8.73,2.0,5.35,10.1,3.22,3.0,,,,,,5.0,1.0,,,,,,,,2.0,,3.0,2,2020,,
Gatito Fernández (GOL),Botafogo,13.44,1.0,5.3,5.3,-1.56,,,,,,,,,2.0,,,,,,1.0,,,7.0,2,2020,,
Ernando (ZAG),Bahia,5.31,1.0,5.3,5.3,1.31,,,,1.0,1.0,,,,,,,,,,,,,2.0,2,2020,,
Thiago Galhardo (MEI),Internacional,11.13,2.0,5.3,3.7,1.06,5.0,,1.0,,3.0,2.0,,,,,,,,,,3.0,,10.0,2,2020,,
Daniel Bessa (MEI),Goiás,5.26,1.0,5.2,5.2,1.26,,1.0,,,,,,,,,,,1.0,,,1.0,,3.0,2,2020,,
Aderlan (LAT),Bragantino,10.12,2.0,5.15,2.9,1.13,12.0,,,,1.0,,1.0,,,,,,,,,4.0,,14.0,2,2020,,
Marlon Freitas (MEI),Atlético-GO,5.96,1.0,5.1,5.1,0.96,2.0,,,,1.0,3.0,1.0,,,,,,,,,1.0,,5.0,2,2020,,
Abner Vinícius (LAT),Athlético-PR,8.88,2.0,5.05,2.9,1.49,6.0,,,1.0,2.0,1.0,,,,,,,,,,2.0,,17.0,2,2020,,
Mateus Gonçalves (ATA),Ceará,7.94,2.0,5.05,6.7,2.58,7.0,,,,1.0,,3.0,,,,,,,,,1.0,,5.0,2,2020,,
Egídio (LAT),Fluminense,8.11,2.0,4.95,8.6,2.82,12.0,,,,3.0,,,,,,,,,,,3.0,,21.0,2,2020,,
Tchê Tchê (MEI),São Paulo,8.83,1.0,4.9,4.9,-0.17,3.0,,,,,,2.0,,,,,,,,,,,5.0,2,2020,,
Bruno Fuchs (ZAG),Internacional,8.69,2.0,4.9,6.9,2.24,5.0,,,2.0,,,,,,,,,1.0,,,2.0,,22.0,2,2020,,
Gerson (MEI),Flamengo,11.87,2.0,4.85,5.4,0.78,9.0,,,,5.0,2.0,,,,,,,,,,5.0,,9.0,2,2020,,
Dorival Júnior (TEC),Athlético-PR,10.47,2.0,4.81,3.32,0.82,,,,,,,,,,,,,,,,,,,2,2020,,
Kannemann (ZAG),Grêmio,11.45,1.0,4.8,0.0,0.0,1.0,,,1.0,2.0,,,,,,,,,,,4.0,,2.0,2,2020,,
Victor Andrade (ATA),Goiás,4.35,1.0,4.8,4.8,1.35,1.0,,,,9.0,5.0,,,,,,,1.0,,,5.0,,2.0,2,2020,,
Cássio (GOL),Corinthians,10.96,1.0,4.7,4.7,-1.04,,,,,,,,,3.0,,,,,,3.0,,,13.0,2,2020,,
Arboleda (ZAG),São Paulo,11.61,1.0,4.5,4.5,-1.39,,,,1.0,,,,,,,,,,,,,,5.0,2,2020,,
Fábio Sanches (ZAG),Goiás,5.69,1.0,4.5,4.5,0.69,3.0,,,,2.0,1.0,,,,,,,,,,,,3.0,2,2020,,
Renato Gaúcho (TEC),Grêmio,12.28,2.0,4.42,3.9,-0.01,,,,,,,,,,,,,,,,,,,2,2020,,
Tiago Nunes (TEC),Corinthians,9.31,1.0,4.32,4.32,-0.69,,,,,,,,,,,,,,,,,,,2,2020,,
Ricardo (ZAG),Vasco,6.34,1.0,4.3,4.3,0.34,,,,1.0,,,,,,,,,,,,1.0,,2.0,2,2020,,
Marcelo Lomba (GOL),Internacional,14.48,2.0,4.3,4.6,-0.74,,,,2.0,,,,,,,,,,,,,,14.0,2,2020,,
Vinicius Mingotti (ATA),Athlético-PR,8.13,2.0,4.2,-0.2,0.45,3.0,,1.0,,4.0,,,,,,,,,,,1.0,1.0,6.0,2,2020,,
Jonathan (LAT),Athlético-PR,11.11,2.0,4.0,-1.8,-1.07,1.0,,1.0,1.0,,,,,,,,,1.0,,,1.0,,5.0,2,2020,,
Benítez (MEI),Vasco,7.6,1.0,3.8,3.8,-0.4,5.0,,,,2.0,,1.0,,,,,,,,,5.0,,9.0,2,2020,,
Isaque (ATA),Grêmio,4.3,2.0,3.8,6.6,2.85,2.0,,,,2.0,1.0,4.0,,,,,,,,,1.0,,5.0,2,2020,,
Ramiro (MEI),Corinthians,6.12,1.0,3.8,3.8,0.12,3.0,,,,1.0,1.0,,,,,,,,,,,,5.0,2,2020,,
Romarinho (ATA),Fortaleza,6.76,2.0,3.8,4.4,1.54,3.0,,,,3.0,2.0,2.0,,,,,,,,,1.0,,4.0,2,2020,,
Marcos Paulo (ATA),Fluminense,7.39,2.0,3.8,6.9,1.81,3.0,,1.0,,,1.0,,,,,,,,,,1.0,,7.0,2,2020,,
Dudu (LAT),Atlético-GO,4.6,1.0,3.7,3.7,0.6,1.0,,,1.0,1.0,,,,,,,,,,,4.0,,8.0,2,2020,,
Bruno Alves (ZAG),São Paulo,10.51,1.0,3.7,3.7,-1.49,1.0,,,1.0,1.0,,,,,,,,1.0,,,1.0,,3.0,2,2020,,
Boschilia (MEI),Internacional,7.05,2.0,3.55,6.7,1.69,6.0,,,,2.0,,2.0,,,,,,,,,2.0,,13.0,2,2020,,
Nikão (MEI),Athlético-PR,13.57,2.0,3.5,3.5,-1.29,,,,,7.0,5.0,1.0,,,,,,,,,2.0,,7.0,2,2020,,
Guto Ferreira (TEC),Ceará,6.7,2.0,3.34,3.97,1.11,,,,,,,,,,,,,,,,,,,2,2020,,
Breno (MEI),Goiás,2.94,1.0,3.3,3.3,0.94,3.0,,,,1.0,,,,,,,,,,,,,2.0,2,2020,,
Paulo Autuori (TEC),Botafogo,7.36,1.0,3.25,3.25,-0.64,,,,,,,,,,,,,,,,,,,2,2020,,
Bruno Nazário (MEI),Botafogo,7.33,1.0,3.2,3.2,-0.67,3.0,,,,2.0,1.0,1.0,,,,,,,,,3.0,,13.0,2,2020,,
Bruno Henrique (ATA),Flamengo,14.28,2.0,3.1,4.1,-1.74,3.0,,,,8.0,1.0,1.0,1.0,,,,,1.0,,,4.0,2.0,8.0,2,2020,,
Jair (MEI),Atlético-MG,6.81,2.0,3.05,5.2,1.08,7.0,,,,5.0,,,,,,,,,,,6.0,,4.0,2,2020,,
Gabriel (ATA),Flamengo,9.14,2.0,2.95,2.9,-0.28,,,,,3.0,5.0,2.0,,,,,,,,,,1.0,15.0,2,2020,,
Michel Araújo (MEI),Fluminense,4.53,2.0,2.95,5.1,1.78,7.0,,,,6.0,1.0,1.0,,,,,,1.0,,,6.0,,11.0,2,2020,,
Everton Felipe (MEI),Atlético-GO,4.24,1.0,2.9,2.9,0.24,3.0,,,,2.0,,,,,,,,,,,,,11.0,2,2020,,
Felipe Conceição (TEC),Bragantino,5.58,2.0,2.87,3.46,1.03,,,,,,,,,,,,,,,,,,,2,2020,,
Bruno Cortez (LAT),Grêmio,8.27,2.0,2.85,-0.8,-0.79,5.0,,,1.0,2.0,,,,,,,,1.0,,,2.0,,23.0,2,2020,,
Victor Luis (LAT),Botafogo,7.16,1.0,2.8,2.8,-0.84,3.0,,,,1.0,,,,,,,,,,,,,7.0,2,2020,,
Viña (LAT),Palmeiras,6.42,1.0,2.8,2.8,-0.58,2.0,,,,3.0,,,,,,,,,,,,,7.0,2,2020,,
Daniel Paulista (TEC),Sport,5.19,2.0,2.71,1.01,0.54,,,,,,,,,,,,,,,,,,,2,2020,,
Talles Magno (ATA),Vasco,7.11,1.0,2.7,2.7,-0.89,2.0,,,,1.0,,1.0,,,,,,,,,1.0,,5.0,2,2020,,
Patric (LAT),Sport,7.13,2.0,2.7,0.1,-0.33,3.0,,1.0,,1.0,2.0,,,,,,,,,,3.0,2.0,22.0,2,2020,,
Matheus Galdezani (MEI),Coritiba,7.32,2.0,2.65,-0.6,-0.58,3.0,,,,3.0,2.0,,1.0,,,,,1.0,,,1.0,,13.0,2,2020,,
Fernando Prass (GOL),Ceará,3.82,2.0,2.6,11.8,3.1,,,,,,,,,4.0,,,,1.0,,4.0,,,8.0,2,2020,,
Léo Ortiz (ZAG),Bragantino,5.6,2.0,2.6,3.6,0.82,5.0,,,,3.0,1.0,,,,,,,,,,3.0,,6.0,2,2020,,
Robson (ATA),Coritiba,5.14,2.0,2.6,4.8,1.23,,,,,8.0,1.0,1.0,1.0,,,,,,,,1.0,4.0,13.0,2,2020,,
Luccas Claro (ZAG),Fluminense,5.6,2.0,2.6,3.6,0.82,6.0,,,,3.0,,,,,,,,,,,1.0,1.0,13.0,2,2020,,
Vladimir (GOL),Santos,5.94,2.0,2.55,3.9,0.72,,,,,,,,,3.0,,,,,,3.0,,,9.0,2,2020,,
Odair Hellmann (TEC),Fluminense,7.71,2.0,2.55,3.49,0.02,,,,,,,,,,,,,,,,,,,2,2020,,
Lucas Halter (ZAG),Athlético-PR,4.07,1.0,2.5,2.5,0.07,,,1.0,,1.0,,,,,,,,1.0,,,1.0,,5.0,2,2020,,
Willian Arão (MEI),Flamengo,9.6,2.0,2.5,-0.2,-1.42,6.0,,,,3.0,,,,,,,,,,,4.0,,5.0,2,2020,,
Cuca (TEC),Santos,8.19,2.0,2.47,1.88,-0.54,,,,,,,,,,,,,,,,,,,2,2020,,
Caio Alexandre (MEI),Botafogo,4.76,1.0,2.4,2.4,-0.24,2.0,,,,2.0,,,,,,,,,,,,,6.0,2,2020,,
Matheus Jesus (MEI),Bragantino,6.53,2.0,2.3,2.7,0.08,4.0,,,,1.0,5.0,1.0,,,,,,1.0,,,4.0,,11.0,2,2020,,
Éderson (MEI),Corinthians,5.46,1.0,2.3,2.3,-0.54,3.0,,,,1.0,,,,,,,,,,,1.0,,7.0,2,2020,,
Allan (MEI),Atlético-MG,7.48,2.0,2.25,1.4,-0.56,7.0,,,,1.0,2.0,,,,,,,1.0,,,4.0,,6.0,2,2020,,
Rodrigo Caio (ZAG),Flamengo,8.65,2.0,2.2,3.7,-0.55,4.0,,,,,2.0,,,,,,,,,,1.0,,7.0,2,2020,,
Sabino (ZAG),Coritiba,4.33,2.0,2.15,3.6,0.92,3.0,,,,1.0,,,1.0,,,,,,,,2.0,,12.0,2,2020,,
Élber (ATA),Bahia,6.11,1.0,2.1,2.1,-0.89,,,,,4.0,,1.0,,,,,,,,,1.0,,6.0,2,2020,,
Orejuela (LAT),Grêmio,6.8,2.0,2.05,2.3,-0.3,4.0,,,1.0,4.0,,1.0,,,,,,1.0,,,7.0,,26.0,2,2020,,
Charles (MEI),Ceará,4.81,2.0,2.05,1.9,0.32,6.0,,,,,1.0,,,,,,,,,,3.0,,12.0,2,2020,,
Alisson (MEI),Grêmio,6.34,2.0,2.05,2.1,-0.18,2.0,,,,2.0,2.0,2.0,,,,,,,,,1.0,1.0,19.0,2,2020,,
Felipe Jonatan (LAT),Santos,6.8,2.0,1.95,0.5,-0.74,5.0,,,,4.0,,,,,,,,,,,3.0,,16.0,2,2020,,
Vanderlei Luxemburgo (TEC),Palmeiras,10.46,1.0,1.91,1.91,-2.54,,,,,,,,,,,,,,,,,,,2,2020,,
Everton Ribeiro (MEI),Flamengo,6.11,2.0,1.9,-0.7,-0.78,3.0,,,,3.0,,1.0,,,,,,,,,2.0,,9.0,2,2020,,
Cano (ATA),Vasco,8.24,1.0,1.9,1.9,-1.76,,,,,1.0,1.0,1.0,,,,,,,,,,1.0,1.0,2,2020,,
Yago Rocha (LAT),Goiás,3.06,1.0,1.9,1.9,0.06,1.0,,,,,,1.0,,,,,,,,,,,3.0,2,2020,,
Nenê (MEI),Fluminense,7.82,2.0,1.85,0.2,-1.24,2.0,,,,4.0,2.0,2.0,,,,,,,,,3.0,,28.0,2,2020,,
Patrick (MEI),Internacional,9.59,2.0,1.8,5.1,-0.92,3.0,,,,2.0,1.0,1.0,1.0,,,,,,,,6.0,1.0,19.0,2,2020,,
Daniel (MEI),Bahia,3.76,1.0,1.8,1.8,-0.24,1.0,,,,2.0,2.0,,,,,,,,,,3.0,,3.0,2,2020,,
Marquinhos (ATA),Sport,3.47,2.0,1.75,2.7,0.72,3.0,,,,8.0,1.0,,,,,,,1.0,,,3.0,,8.0,2,2020,,
Edimar (LAT),Bragantino,3.88,2.0,1.7,2.8,0.55,3.0,,,,1.0,4.0,,,,,,,,,,1.0,,28.0,2,2020,,
Nino (ZAG),Fluminense,5.54,2.0,1.7,1.3,-0.33,2.0,,,,6.0,,,,,,,,,,,2.0,,6.0,2,2020,,
Réver (ZAG),Atlético-MG,7.36,1.0,1.6,1.6,-1.64,2.0,,,,1.0,,,,,,,,,,,,,9.0,2,2020,,
Vinícius (ATA),Goiás,1.45,1.0,1.6,1.6,0.45,1.0,,,,,,1.0,,,,,,,,,1.0,,1.0,2,2020,,
Domènec Torrent (TEC),Flamengo,6.69,2.0,1.6,0.67,-0.94,,,,,,,,,,,,,,,,,,,2,2020,,
Ney Franco (TEC),Goiás,4.38,1.0,1.54,1.54,-0.62,,,,,,,,,,,,,,,,,,,2,2020,,
Adryelson (ZAG),Sport,4.51,2.0,1.5,3.1,0.23,2.0,,,,1.0,1.0,,1.0,,,,,1.0,,,2.0,,3.0,2,2020,,
Pablo (ATA),São Paulo,8.8,1.0,1.5,1.5,-2.2,,,,,3.0,4.0,,,,,,,,,,4.0,2.0,2.0,2,2020,,
Gabriel Pec (MEI),Vasco,2.88,1.0,1.5,1.5,-0.12,2.0,,,,4.0,,1.0,,,,,,1.0,,,3.0,,2.0,2,2020,,
Arrascaeta (MEI),Flamengo,16.4,2.0,1.5,-1.3,-4.84,2.0,,,,1.0,2.0,1.0,,,,,,,,,,,23.0,2,2020,,
Ricardo Ryller (MEI),Bragantino,3.56,2.0,1.45,-0.2,-0.14,7.0,,,,2.0,3.0,,,,,,,2.0,,,5.0,,10.0,2,2020,,
Rossi (ATA),Bahia,5.06,1.0,1.4,1.4,-0.94,2.0,,,,1.0,,,,,,,,,,,1.0,,6.0,2,2020,,
Mateus Vital (MEI),Corinthians,5.8,1.0,1.4,1.4,-1.2,1.0,,,,2.0,,,,,,,,,,,,,6.0,2,2020,,
Tinga (LAT),Fortaleza,4.27,2.0,1.4,1.9,-0.01,4.0,,,,1.0,,,,,,,,,,,,,17.0,2,2020,,
Betinho (MEI),Sport,4.09,2.0,1.35,-0.6,-0.48,5.0,,,,,,,,,,,,,,,2.0,,13.0,2,2020,,
Pará (LAT),Santos,6.58,2.0,1.35,-1.5,-1.54,3.0,,,,1.0,1.0,1.0,,,,,,,,,2.0,,18.0,2,2020,,
Rafael (GOL),Atlético-MG,8.81,2.0,1.35,-4.5,-2.93,,,,1.0,,,,,1.0,,,,,,2.0,,,23.0,2,2020,,
Luan Peres (ZAG),Santos,4.26,2.0,1.3,1.5,-0.16,2.0,,,,3.0,,,,,,,,,,,,,9.0,2,2020,,
