colocação,jogador,escalações,rodada,ano
9.0,Bruno Henrique (FLA),1067229.0,24,2020
10.0,Keno (ATL),966282.0,24,2020
11.0,Fernando Diniz (SAO),929927.0,24,2020
12.0,Gabriel Sara (SAO),777495.0,24,2020
13.0,Tiago Volpi (SAO),718102.0,24,2020
14.0,Raphael Veiga (PAL),685828.0,24,2020
15.0,Pedro (FLA),673043.0,24,2020
16.0,Calegari (FLU),667103.0,24,2020
17.0,Guilherme Arana (ATL),638282.0,24,2020
18.0,Nenê (FLU),598600.0,24,2020
19.0,Marinho (SAN),589357.0,24,2020
20.0,Bruno Alves (SAO),572632.0,24,2020
1.0,Raphael Veiga (PAL),1695602.0,25,2020
2.0,Thiago Galhardo (INT),1673376.0,25,2020
3.0,Viña (PAL),1458369.0,25,2020
4.0,Bruno Henrique (FLA),1292691.0,25,2020
5.0,Arrascaeta (FLA),1264531.0,25,2020
6.0,Luciano (SAO),1118730.0,25,2020
7.0,Keno (ATL),950553.0,25,2020
8.0,Pepê (GRE),934662.0,25,2020
9.0,Víctor Cuesta (INT),915070.0,25,2020
10.0,Gustavo Gómez (PAL),805499.0,25,2020
11.0,Everton Ribeiro (FLA),800316.0,25,2020
12.0,Brenner (SAO),686830.0,25,2020
13.0,David Braz (GRE),666016.0,25,2020
14.0,Claudinho (BGT),642629.0,25,2020
15.0,Abel Ferreira (PAL),632209.0,25,2020
16.0,Weverton (PAL),555007.0,25,2020
17.0,Rogério Ceni (FLA),489853.0,25,2020
18.0,Rodrigo Caio (FLA),473361.0,25,2020
19.0,Gabriel Veron (PAL),457528.0,25,2020
20.0,Orejuela (GRE),438716.0,25,2020
1.0,Gabriel (FLA),2246599.0,26,2020
2.0,Bruno Henrique (FLA),1837002.0,26,2020
3.0,Arrascaeta (FLA),1735377.0,26,2020
4.0,Rogério Ceni (FLA),1333934.0,26,2020
5.0,Everton Ribeiro (FLA),1299176.0,26,2020
6.0,Rodrigo Caio (FLA),1280672.0,26,2020
7.0,Vina (CEA),1157647.0,26,2020
8.0,Sabino (CFC),1031979.0,26,2020
9.0,Claudinho (BGT),1020096.0,26,2020
10.0,Gil (COR),912828.0,26,2020
11.0,Fábio Santos (COR),845937.0,26,2020
12.0,Fagner (COR),823930.0,26,2020
13.0,Raphael Veiga (PAL),759831.0,26,2020
14.0,Isla (FLA),758529.0,26,2020
15.0,Diego Alves (FLA),740173.0,26,2020
16.0,Filipe Luís (FLA),727276.0,26,2020
17.0,Giovanni Augusto (CFC),654284.0,26,2020
18.0,Otero (COR),571588.0,26,2020
19.0,Viña (PAL),544467.0,26,2020
20.0,Thiago Galhardo (INT),472815.0,26,2020
1.0,Marinho (SAN),1676384.0,27,2020
2.0,Keno (ATL),1598041.0,27,2020
3.0,Pedro (FLA),1425575.0,27,2020
4.0,Viña (PAL),1168536.0,27,2020
5.0,Everton Ribeiro (FLA),1163102.0,27,2020
6.0,Arrascaeta (FLA),1133671.0,27,2020
7.0,Guilherme Arana (ATL),879735.0,27,2020
8.0,Gustavo Gómez (PAL),824331.0,27,2020
9.0,Bruno Henrique (FLA),781611.0,27,2020
10.0,Réver (ATL),721857.0,27,2020
11.0,Vina (CEA),677759.0,27,2020
12.0,Gabriel Menino (PAL),635318.0,27,2020
13.0,Rodrigo Caio (FLA),633293.0,27,2020
14.0,Thiago Galhardo (INT),578805.0,27,2020
15.0,Rogério Ceni (FLA),575672.0,27,2020
16.0,Júnior Alonso (ATL),535366.0,27,2020
17.0,Weverton (PAL),477286.0,27,2020
18.0,Patrick (INT),472292.0,27,2020
19.0,Vargas (ATL),468836.0,27,2020
20.0,John Victor (SAN),466869.0,27,2020
1.0,Gabriel (FLA),1710078.0,28,2020
2.0,Pepê (GRE),1628563.0,28,2020
3.0,Arrascaeta (FLA),1410876.0,28,2020
4.0,Bruno Henrique (FLA),1322096.0,28,2020
5.0,Vina (CEA),1234482.0,28,2020
6.0,Kannemann (GRE),1185254.0,28,2020
7.0,Brenner (SAO),1020782.0,28,2020
8.0,Jean Pyerre (GRE),1015651.0,28,2020
9.0,Reinaldo (SAO),971988.0,28,2020
10.0,Renato Gaúcho (GRE),868680.0,28,2020
11.0,Everton Ribeiro (FLA),841227.0,28,2020
12.0,Rodrigo Caio (FLA),785967.0,28,2020
13.0,Diogo Barbosa (GRE),758104.0,28,2020
14.0,Isla (FLA),693507.0,28,2020
15.0,Sabino (CFC),672058.0,28,2020
16.0,Filipe Luís (FLA),635803.0,28,2020
17.0,Rogério Ceni (FLA),615865.0,28,2020
18.0,Diego Souza (GRE),569169.0,28,2020
19.0,Alisson (GRE),541769.0,28,2020
20.0,Tadeu (GOI),481617.0,28,2020
1.0,Gabriel (FLA),1546948.0,29,2020
2.0,Thiago Galhardo (INT),1444519.0,29,2020
3.0,Arrascaeta (FLA),1173308.0,29,2020
4.0,Brenner (SAO),1097088.0,29,2020
